text,label,description,cleaned_text,filtered_text,lemmatized_text
i feel foolish and desperate almost for feeling so strongly about this,0,sad,i feel foolish and desperate almost for feeling so strongly about this,feel foolish desperate almost feeling strongly,feel foolish desperate almost feeling strongly
i feel more irritated than peaceful,3,anger,i feel more irritated than peaceful,feel irritated peaceful,feel irritate peaceful
i feel troubled lord and i honestly don t know why,0,sad,i feel troubled lord and i honestly don t know why,feel troubled lord honestly know,feel trouble lord honestly know
i can peruse a few pages before i feel that dull headache building at the base of my skull and by that point i m kicking myself for bringing on a dreaded case of car sickness,0,sad,i can peruse a few pages before i feel that dull headache building at the base of my skull and by that point i m kicking myself for bringing on a dreaded case of car sickness,peruse pages feel dull headache building base skull point kicking bringing dreaded case car sickness,peruse page feel dull headache building base skull point kicking bringing dread case car sickness
i do feel very successful right now,1,joy,i do feel very successful right now,feel successful right,feel successful right
i can only feel sorry for us that the relationship didnt work out,0,sad,i can only feel sorry for us that the relationship didnt work out,feel sorry us relationship didnt work,feel sorry u relationship didnt work
i want to express my feeling i dont know how to start it but seriously i feel so miserable right now love or friend,0,sad,i want to express my feeling i dont know how to start it but seriously i feel so miserable right now love or friend,want express feeling dont know start seriously feel miserable right love friend,want express feeling dont know start seriously feel miserable right love friend
i feel distraught worried panicked sick scared sad,4,fear,i feel distraught worried panicked sick scared sad,feel distraught worried panicked sick scared sad,feel distraught worry panic sick scar sad
id begun to feel empty and this was after having had several juices and lots of water water will only make you feel full for so long but it was quite good at rinsing out from my pie hole the putrid flavors id forced upon myself,0,sad,id begun to feel empty and this was after having had several juices and lots of water water will only make you feel full for so long but it was quite good at rinsing out from my pie hole the putrid flavors id forced upon myself,id begun feel empty several juices lots water water make feel full long quite good rinsing pie hole putrid flavors id forced upon,id begin feel empty several juice lot water water make feel full long quite good rinsing pie hole putrid flavor id force upon
i do feel very angered though,3,anger,i do feel very angered though,feel angered though,feel anger though
i feel the need to lend my hand in the loyal promotion of greg weismans baby in hopes that disney will some day pick it back up or at the very least sell the rest of the series on dvd,2,love,i feel the need to lend my hand in the loyal promotion of greg weismans baby in hopes that disney will some day pick it back up or at the very least sell the rest of the series on dvd,feel need lend hand loyal promotion greg weismans baby hopes disney day pick back least sell rest series dvd,feel need lend hand loyal promotion greg weismans baby hope disney day pick back least sell rest series dvd
i watch movies set in the s and s i feel pangs of melancholy,0,sad,i watch movies set in the s and s i feel pangs of melancholy,watch movies set feel pangs melancholy,watch movie set feel pang melancholy
i feel like i am going to throw up or something i hated that site soooo much,0,sad,i feel like i am going to throw up or something i hated that site soooo much,feel like going throw something hated site soooo much,feel like going throw something hat site soooo much
i woke on saturday feeling a little brighter and was very keen to get outdoors after spending all day friday wallowing in self pity,1,joy,i woke on saturday feeling a little brighter and was very keen to get outdoors after spending all day friday wallowing in self pity,woke saturday feeling little brighter keen get outdoors spending day friday wallowing self pity,wake saturday feeling little bright keen get outdoors spending day friday wallow self pity
i have eternal hope he says and when they arrive on the bridge she finds she likes the feel of the fond smile on her face too much to hide it,2,love,i have eternal hope he says and when they arrive on the bridge she finds she likes the feel of the fond smile on her face too much to hide it,eternal hope says arrive bridge finds likes feel fond smile face much hide,eternal hope say arrive bridge find like feel fond smile face much hide
i feel and bruise my how was anybody to be punished,0,sad,i feel and bruise my how was anybody to be punished,feel bruise anybody punished,feel bruise anybody punish
i woke up even more tired than the night before and feeling groggy,0,sad,i woke up even more tired than the night before and feeling groggy,woke even tired night feeling groggy,wake even tire night feeling groggy
i feeling irritable,3,anger,i feeling irritable,feeling irritable,feeling irritable
i feel these kinds of emotional urges i try to identify their intellectual roots so i can understand them better,0,sad,i feel these kinds of emotional urges i try to identify their intellectual roots so i can understand them better,feel kinds emotional urges try identify intellectual roots understand better,feel kind emotional urge try identify intellectual root understand better
i should probably mention so that you aren t feeling left out that the lunch was in celebration of the top participants of the take the lead speech competition another reason to enter the competition the food was delicious and the conversation was amusing,1,joy,i should probably mention so that you aren t feeling left out that the lunch was in celebration of the top participants of the take the lead speech competition another reason to enter the competition the food was delicious and the conversation was amusing,probably mention feeling left lunch celebration top participants take lead speech competition another reason enter competition food delicious conversation amusing,probably mention feeling left lunch celebration top participant take lead speech competition another reason enter competition food delicious conversation amuse
i did feel like the people there were appreciative of what they had and many had happiness in that pinnacle way that is non materialistic,1,joy,i did feel like the people there were appreciative of what they had and many had happiness in that pinnacle way that is non materialistic,feel like people appreciative many happiness pinnacle way non materialistic,feel like people appreciative many happiness pinnacle way non materialistic
i realized that it s those goddamn fat ass greedy son of a bitches that made me feel so humiliated so alone and so ugly,0,sad,i realized that it s those goddamn fat ass greedy son of a bitches that made me feel so humiliated so alone and so ugly,realized goddamn fat ass greedy son bitches made feel humiliated alone ugly,realize goddamn fat as greedy son bitch make feel humiliate alone ugly
i feel as if it was a way of distracting me from my positive thoughts and i had to work really hard to switch my thoughts around today but i did it,1,joy,i feel as if it was a way of distracting me from my positive thoughts and i had to work really hard to switch my thoughts around today but i did it,feel way distracting positive thoughts work really hard switch thoughts around today,feel way distract positive thought work really hard switch thought around today
i can tell most of the time what shes really feeling and she was being really sincere,1,joy,i can tell most of the time what shes really feeling and she was being really sincere,tell time shes really feeling really sincere,tell time shes really feeling really sincere
i feel like mike is loyal and will always be loyal,2,love,i feel like mike is loyal and will always be loyal,feel like mike loyal always loyal,feel like mike loyal always loyal
i don t have any issues with the obvious i went chinese with them yesterday and i wasn t feeling hostile towards any of them,3,anger,i don t have any issues with the obvious i went chinese with them yesterday and i wasn t feeling hostile towards any of them,issues obvious went chinese yesterday feeling hostile towards,issue obvious go chinese yesterday feeling hostile towards
i feel like im actually doing somewhat well with it and right now im getting my swing down,1,joy,i feel like im actually doing somewhat well with it and right now im getting my swing down,feel like im actually somewhat well right im getting swing,feel like im actually somewhat well right im getting swing
i feel i m being punished for too many thoughtless years of assuming that the trappings of success were earned and not given,0,sad,i feel i m being punished for too many thoughtless years of assuming that the trappings of success were earned and not given,feel punished many thoughtless years assuming trappings success earned given,feel punish many thoughtless year assume trapping success earn given
i feel like i have to dumb myself down in order to communicate effectively,0,sad,i feel like i have to dumb myself down in order to communicate effectively,feel like dumb order communicate effectively,feel like dumb order communicate effectively
i still feel quite loyal in other views on the conservative side,2,love,i still feel quite loyal in other views on the conservative side,still feel quite loyal views conservative side,still feel quite loyal view conservative side
i guess i am just feeling slightly shaken at this sudden news,4,fear,i guess i am just feeling slightly shaken at this sudden news,guess feeling slightly shaken sudden news,guess feeling slightly shake sudden news
i still feel funny,5,surprise,i still feel funny,still feel funny,still feel funny
im tired of feeling troubled stressed up feeling down and falling sick,0,sad,im tired of feeling troubled stressed up feeling down and falling sick,im tired feeling troubled stressed feeling falling sick,im tire feeling trouble stress feeling fall sick
i felt a bit bad about killing but it always feels like a chore that simply distracted from exploration,3,anger,i felt a bit bad about killing but it always feels like a chore that simply distracted from exploration,felt bit bad killing always feels like chore simply distracted exploration,felt bit bad killing always feel like chore simply distract exploration
i wont be so sure to feel optimistic about this either,1,joy,i wont be so sure to feel optimistic about this either,wont sure feel optimistic either,wont sure feel optimistic either
i feel bad about being depressed because theres still a part of me that wants to believe that i can think my way out of this then i feel bad about wanting to starve so i do the opposite,0,sad,i feel bad about being depressed because theres still a part of me that wants to believe that i can think my way out of this then i feel bad about wanting to starve so i do the opposite,feel bad depressed theres still part wants believe think way feel bad wanting starve opposite,feel bad depress there still part want believe think way feel bad want starve opposite
i feel like im worthless,0,sad,i feel like im worthless,feel like im worthless,feel like im worthless
i feel too much but i don t care no i don t careeeeee i don t care by savage garden your three plans for tomorrow,3,anger,i feel too much but i don t care no i don t careeeeee i don t care by savage garden your three plans for tomorrow,feel much care careeeeee care savage garden three plans tomorrow,feel much care careeeeee care savage garden three plan tomorrow
i was left feeling a little delicate but thoughtful,2,love,i was left feeling a little delicate but thoughtful,left feeling little delicate thoughtful,left feeling little delicate thoughtful
i can feel myself agitated now so im going to have to leave work in a sec,3,anger,i can feel myself agitated now so im going to have to leave work in a sec,feel agitated im going leave work sec,feel agitate im going leave work sec
after receiving the grade on the paper mentioned in fear,0,sad,after receiving the grade on the paper mentioned in fear,receiving grade paper mentioned fear,receive grade paper mention fear
i cant help but feel a little jubilant as i walk through the arrivals gate,1,joy,i cant help but feel a little jubilant as i walk through the arrivals gate,cant help feel little jubilant walk arrivals gate,cant help feel little jubilant walk arrival gate
i thought it might and it makes my hair feel lovely and silky,2,love,i thought it might and it makes my hair feel lovely and silky,thought might makes hair feel lovely silky,thought might make hair feel lovely silky
i could elaborate how ww is a plan that gives you freedom and boundaries without feeling deprived and how finding your nitche in moving and sweating makes all the difference or the nuts of bolts of the day in and day out choices my story my struggle goes deep into the core,0,sad,i could elaborate how ww is a plan that gives you freedom and boundaries without feeling deprived and how finding your nitche in moving and sweating makes all the difference or the nuts of bolts of the day in and day out choices my story my struggle goes deep into the core,could elaborate ww plan gives freedom boundaries without feeling deprived finding nitche moving sweating makes difference nuts bolts day day choices story struggle goes deep core,could elaborate ww plan give freedom boundary without feeling deprive finding nitche move sweating make difference nut bolt day day choice story struggle go deep core
i imagine how would it feel to hold you nothing perverse just to know you to feel the heat of your breathe moving through me your feet tangled with mine,0,sad,i imagine how would it feel to hold you nothing perverse just to know you to feel the heat of your breathe moving through me your feet tangled with mine,imagine would feel hold nothing perverse know feel heat breathe moving feet tangled mine,imagine would feel hold nothing perverse know feel heat breathe move foot tangle mine
i felt like the boys were disadvantaged missing out on all the exciting entertainments at home for children but now i feel like they have had a precious opportunity to get close and familiar with nature,1,joy,i felt like the boys were disadvantaged missing out on all the exciting entertainments at home for children but now i feel like they have had a precious opportunity to get close and familiar with nature,felt like boys disadvantaged missing exciting entertainments home children feel like precious opportunity get close familiar nature,felt like boy disadvantage miss excite entertainment home child feel like precious opportunity get close familiar nature
i know he s feeling to me is sincere so i could tolerate these small trouble but i can t stand his this character in the performance of the sex life of husband and wife,1,joy,i know he s feeling to me is sincere so i could tolerate these small trouble but i can t stand his this character in the performance of the sex life of husband and wife,know feeling sincere could tolerate small trouble stand character performance sex life husband wife,know feeling sincere could tolerate small trouble stand character performance sex life husband wife
i was just yesterday feeling uncomfortable with highschool sigh,4,fear,i was just yesterday feeling uncomfortable with highschool sigh,yesterday feeling uncomfortable highschool sigh,yesterday feeling uncomfortable highschool sigh
i am already feeling heartbroken and alone again,0,sad,i am already feeling heartbroken and alone again,already feeling heartbroken alone,already feeling heartbroken alone
i don t know what i want in my life at the moment and even though things are really good and stable in many ways i still don t feel content with it,1,joy,i don t know what i want in my life at the moment and even though things are really good and stable in many ways i still don t feel content with it,know want life moment even though things really good stable many ways still feel content,know want life moment even though thing really good stable many way still feel content
i feel like these were pretty productive days although i couldve cut back on the thinking as usual,1,joy,i feel like these were pretty productive days although i couldve cut back on the thinking as usual,feel like pretty productive days although couldve cut back thinking usual,feel like pretty productive day although couldve cut back thinking usual
i feel angry man named muaz,3,anger,i feel angry man named muaz,feel angry man named muaz,feel angry man name muaz
i love how i can feel totally distressed and hopeless but when i put on a bright eyes record or something all of a sudden i have this realization that there is more to life than the shit i worry about,4,fear,i love how i can feel totally distressed and hopeless but when i put on a bright eyes record or something all of a sudden i have this realization that there is more to life than the shit i worry about,love feel totally distressed hopeless put bright eyes record something sudden realization life shit worry,love feel totally distress hopeless put bright eye record something sudden realization life shit worry
i was abruptly reminded of why i was feeling so agitated in la,4,fear,i was abruptly reminded of why i was feeling so agitated in la,abruptly reminded feeling agitated la,abruptly remind feeling agitate la
i am feeling amazing mostly normal i am going to a pre thanksgiving celebration with our friends from that time we were in softball,1,joy,i am feeling amazing mostly normal i am going to a pre thanksgiving celebration with our friends from that time we were in softball,feeling amazing mostly normal going pre thanksgiving celebration friends time softball,feeling amaze mostly normal going pre thanksgiving celebration friend time softball
i feel very peaceful about the whole situation,1,joy,i feel very peaceful about the whole situation,feel peaceful whole situation,feel peaceful whole situation
i feel invigorated by the,1,joy,i feel invigorated by the,feel invigorated,feel invigorate
i went miles and it wasnt that i felt tired but i noticed that my bottom parts or the front of my pelvic bone was feeling numb and sore,0,sad,i went miles and it wasnt that i felt tired but i noticed that my bottom parts or the front of my pelvic bone was feeling numb and sore,went miles wasnt felt tired noticed bottom parts front pelvic bone feeling numb sore,go mile wasnt felt tire notice bottom part front pelvic bone feeling numb sore
im getting there but i really do feel dazed and confused at the moment,5,surprise,im getting there but i really do feel dazed and confused at the moment,im getting really feel dazed confused moment,im getting really feel daze confuse moment
i also like to share my happiness by spreading a smile at work sometimes i feel like the people i work for are a bit uptight so its nice to add some chatter to lighten the mood,4,fear,i also like to share my happiness by spreading a smile at work sometimes i feel like the people i work for are a bit uptight so its nice to add some chatter to lighten the mood,also like share happiness spreading smile work sometimes feel like people work bit uptight nice add chatter lighten mood,also like share happiness spreading smile work sometimes feel like people work bit uptight nice add chatter lighten mood
i was the compere at a party and all my efforts to get the show rolling were thwarted by the immobile,3,anger,i was the compere at a party and all my efforts to get the show rolling were thwarted by the immobile,compere party efforts get show rolling thwarted immobile,compere party effort get show rolling thwart immobile
i feel so resentful about having to take care of us and not getting to do what i want to do,3,anger,i feel so resentful about having to take care of us and not getting to do what i want to do,feel resentful take care us getting want,feel resentful take care u getting want
i feel every part of me agitated by the reality of the kingdom walk the talk,3,anger,i feel every part of me agitated by the reality of the kingdom walk the talk,feel every part agitated reality kingdom walk talk,feel every part agitate reality kingdom walk talk
i have gained lbs back and i feel terrible about it,0,sad,i have gained lbs back and i feel terrible about it,gained lbs back feel terrible,gain lb back feel terrible
i dont say anything because i dont want to cause a fuss and i hate it when people feel sorry for me,0,sad,i dont say anything because i dont want to cause a fuss and i hate it when people feel sorry for me,dont say anything dont want cause fuss hate people feel sorry,dont say anything dont want cause fuss hate people feel sorry
im feeling so excited and eager,1,joy,im feeling so excited and eager,im feeling excited eager,im feeling excite eager
i feel really listless right now,0,sad,i feel really listless right now,feel really listless right,feel really listless right
i feel pathetic at times because,0,sad,i feel pathetic at times because,feel pathetic times,feel pathetic time
i feel very discontent right now,0,sad,i feel very discontent right now,feel discontent right,feel discontent right
i learned what its truely like to feel and be submissive,0,sad,i learned what its truely like to feel and be submissive,learned truely like feel submissive,learn truely like feel submissive
i feel pathetic because i feel like you never once called me your bestfriend and i just continued to call you my bff and i just get treated like a friend,0,sad,i feel pathetic because i feel like you never once called me your bestfriend and i just continued to call you my bff and i just get treated like a friend,feel pathetic feel like never called bestfriend continued call bff get treated like friend,feel pathetic feel like never call bestfriend continue call bff get treat like friend
i go in coeur d alene im surrounded by them and it feels strange to look at them and think all these people are actually as nuts as me,5,surprise,i go in coeur d alene im surrounded by them and it feels strange to look at them and think all these people are actually as nuts as me,go coeur alene im surrounded feels strange look think people actually nuts,go coeur alene im surround feel strange look think people actually nut
i just wanted to write this post because i m sure like myself there are many of us struggling with the same problem feeling deprived and isolated on such a restricted program but i hope you realize that you are doing it to yourself and you don t have to feel that way at all,0,sad,i just wanted to write this post because i m sure like myself there are many of us struggling with the same problem feeling deprived and isolated on such a restricted program but i hope you realize that you are doing it to yourself and you don t have to feel that way at all,wanted write post sure like many us struggling problem feeling deprived isolated restricted program hope realize feel way,want write post sure like many u struggle problem feeling deprive isolate restrict program hope realize feel way
i still feel so agitated,3,anger,i still feel so agitated,still feel agitated,still feel agitate
i feel dissatisfied and no matter how selfish i am or how much about me i make saturday it s never enough,3,anger,i feel dissatisfied and no matter how selfish i am or how much about me i make saturday it s never enough,feel dissatisfied matter selfish much make saturday never enough,feel dissatisfy matter selfish much make saturday never enough
i feel something about physically seeing your problems where the hurt stems from seems to be very therapeutic,0,sad,i feel something about physically seeing your problems where the hurt stems from seems to be very therapeutic,feel something physically seeing problems hurt stems seems therapeutic,feel something physically seeing problem hurt stem seem therapeutic
i just like spoiler cuts they make me feel simultaneously badass and considerate,1,joy,i just like spoiler cuts they make me feel simultaneously badass and considerate,like spoiler cuts make feel simultaneously badass considerate,like spoiler cut make feel simultaneously badass considerate
im feeling a little smug too im usually running late for whatever im planning to d,1,joy,im feeling a little smug too im usually running late for whatever im planning to d,im feeling little smug im usually running late whatever im planning,im feeling little smug im usually running late whatever im planning
i have certainly been in places where i did not feel welcomed and i made a point to go on to a place where i did find that feeling of welcoming,1,joy,i have certainly been in places where i did not feel welcomed and i made a point to go on to a place where i did find that feeling of welcoming,certainly places feel welcomed made point go place find feeling welcoming,certainly place feel welcome make point go place find feeling welcome
i feel amazed i can compress my difficulty so neatly into one sentence,5,surprise,i feel amazed i can compress my difficulty so neatly into one sentence,feel amazed compress difficulty neatly one sentence,feel amaze compress difficulty neatly one sentence
i have this feeling of security about the characters i want to do if someone else gets the role i am afraid they will not do well,4,fear,i have this feeling of security about the characters i want to do if someone else gets the role i am afraid they will not do well,feeling security characters want someone else gets role afraid well,feeling security character want someone else get role afraid well
i feel like no other day should be less valuable than another because of a certain event is going to happen,1,joy,i feel like no other day should be less valuable than another because of a certain event is going to happen,feel like day less valuable another certain event going happen,feel like day le valuable another certain event going happen
i loathe stuffed animals they make me feel a bit violent and i have been known to punch them,3,anger,i loathe stuffed animals they make me feel a bit violent and i have been known to punch them,loathe stuffed animals make feel bit violent known punch,loathe stuff animal make feel bit violent know punch
i feel extraordinarily lively,1,joy,i feel extraordinarily lively,feel extraordinarily lively,feel extraordinarily lively
i still feel incredibly frustrated by it,3,anger,i still feel incredibly frustrated by it,still feel incredibly frustrated,still feel incredibly frustrate
i feel sympathetic toward him he is always suffering through a million responsibilities,2,love,i feel sympathetic toward him he is always suffering through a million responsibilities,feel sympathetic toward always suffering million responsibilities,feel sympathetic toward always suffering million responsibility
i was lured into the idea of the event with the promise of free champagne you know me and a brilliant talk by bestselling author kathy lette but left feeling genuinely inspired and empowered,1,joy,i was lured into the idea of the event with the promise of free champagne you know me and a brilliant talk by bestselling author kathy lette but left feeling genuinely inspired and empowered,lured idea event promise free champagne know brilliant talk bestselling author kathy lette left feeling genuinely inspired empowered,lure idea event promise free champagne know brilliant talk bestselling author kathy lette left feeling genuinely inspire empower
i feel as i did when i was troubled easily agitated and indecisive,0,sad,i feel as i did when i was troubled easily agitated and indecisive,feel troubled easily agitated indecisive,feel trouble easily agitate indecisive
i have a feeling his sex phobia is the result of his having been sexually abused by his sister when he was a child,0,sad,i have a feeling his sex phobia is the result of his having been sexually abused by his sister when he was a child,feeling sex phobia result sexually abused sister child,feeling sex phobia result sexually abuse sister child
i feel content just because of the weather,1,joy,i feel content just because of the weather,feel content weather,feel content weather
i tend to feel too empathtic and too remorseful and guilty even about shit i am not a part of,0,sad,i tend to feel too empathtic and too remorseful and guilty even about shit i am not a part of,tend feel empathtic remorseful guilty even shit part,tend feel empathtic remorseful guilty even shit part
i started to feel some dull cramps that lasted for about two hours i thought maybe the babies didnt like mexican which is cray cray because its my favorite,0,sad,i started to feel some dull cramps that lasted for about two hours i thought maybe the babies didnt like mexican which is cray cray because its my favorite,started feel dull cramps lasted two hours thought maybe babies didnt like mexican cray cray favorite,start feel dull cramp last two hour thought maybe baby didnt like mexican cray cray favorite
i feel like im reliving the prequel again another jedi queen in a romantic relationship trying to keep it secret,2,love,i feel like im reliving the prequel again another jedi queen in a romantic relationship trying to keep it secret,feel like im reliving prequel another jedi queen romantic relationship trying keep secret,feel like im reliving prequel another jedi queen romantic relationship try keep secret
i am at work today in my new job still feels really strange tbh but i m sure i ll soon settle in,4,fear,i am at work today in my new job still feels really strange tbh but i m sure i ll soon settle in,work today new job still feels really strange tbh sure soon settle,work today new job still feel really strange tbh sure soon settle
i think she is pretty sure she is not the victim then feel really unfortunate to bobo if she is really pregnant,0,sad,i think she is pretty sure she is not the victim then feel really unfortunate to bobo if she is really pregnant,think pretty sure victim feel really unfortunate bobo really pregnant,think pretty sure victim feel really unfortunate bobo really pregnant
i feel the echoes of the divine so very close,1,joy,i feel the echoes of the divine so very close,feel echoes divine close,feel echo divine close
i finished it feeling amazing,1,joy,i finished it feeling amazing,finished feeling amazing,finish feeling amaze
i feel so bad to have slacked of on my health but now i need to make the time,0,sad,i feel so bad to have slacked of on my health but now i need to make the time,feel bad slacked health need make time,feel bad slack health need make time
i feel so special when im wearing this front,1,joy,i feel so special when im wearing this front,feel special im wearing front,feel special im wearing front
i can totally sympathize with everyone here who doesn t speak native english as i feel like a brain damaged five year old whenever i try to speak japanese for any length of time,0,sad,i can totally sympathize with everyone here who doesn t speak native english as i feel like a brain damaged five year old whenever i try to speak japanese for any length of time,totally sympathize everyone speak native english feel like brain damaged five year old whenever try speak japanese length time,totally sympathize everyone speak native english feel like brain damage five year old whenever try speak japanese length time
i ran upon it while looking for a cute saying to add to address change cards planning ahead and feeling positive,1,joy,i ran upon it while looking for a cute saying to add to address change cards planning ahead and feeling positive,ran upon looking cute saying add address change cards planning ahead feeling positive,run upon looking cute saying add address change card planning ahead feeling positive
i had and not having any lingering feelings nor longing for anyone,2,love,i had and not having any lingering feelings nor longing for anyone,lingering feelings longing anyone,lingering feeling longing anyone
i have just had such a crappy week that i am still feeling all agitated and like the day wasn t what i wanted,4,fear,i have just had such a crappy week that i am still feeling all agitated and like the day wasn t what i wanted,crappy week still feeling agitated like day wanted,crappy week still feeling agitate like day want
ive lost lbs between january of this year and now i have this wicked part of me that feels very keen to try on new clothing and to tell myself that i deserve new clothing,1,joy,ive lost lbs between january of this year and now i have this wicked part of me that feels very keen to try on new clothing and to tell myself that i deserve new clothing,ive lost lbs january year wicked part feels keen try new clothing tell deserve new clothing,ive lost lb january year wicked part feel keen try new clothing tell deserve new clothing
i acknowledge that i am not actually fat by definition but feeling uncomfortable in my skin,4,fear,i acknowledge that i am not actually fat by definition but feeling uncomfortable in my skin,acknowledge actually fat definition feeling uncomfortable skin,acknowledge actually fat definition feeling uncomfortable skin
i quite often get up feeling groggy but after meditating and having a fresh juice i feel as good as new,0,sad,i quite often get up feeling groggy but after meditating and having a fresh juice i feel as good as new,quite often get feeling groggy meditating fresh juice feel good new,quite often get feeling groggy meditate fresh juice feel good new
i am feeling so honoured to be a,1,joy,i am feeling so honoured to be a,feeling honoured,feeling honour
ive been feeling the demands of my three beloved males pushing and pulling spinning me around as i dance to the beat of their drum,1,joy,ive been feeling the demands of my three beloved males pushing and pulling spinning me around as i dance to the beat of their drum,ive feeling demands three beloved males pushing pulling spinning around dance beat drum,ive feeling demand three beloved male pushing pulling spinning around dance beat drum
i feel like in order to live a compassionate life this is an essential piece of the puzzle for me,2,love,i feel like in order to live a compassionate life this is an essential piece of the puzzle for me,feel like order live compassionate life essential piece puzzle,feel like order live compassionate life essential piece puzzle
i still feel the tender touch of a hand in mine,2,love,i still feel the tender touch of a hand in mine,still feel tender touch hand mine,still feel tender touch hand mine
i learned my lesson and would never repeat my mistake i ve seen real child abuse and still do not feel that i abused my child,0,sad,i learned my lesson and would never repeat my mistake i ve seen real child abuse and still do not feel that i abused my child,learned lesson would never repeat mistake seen real child abuse still feel abused child,learn lesson would never repeat mistake see real child abuse still feel abuse child
i feel so blessed that i am able to leave there,1,joy,i feel so blessed that i am able to leave there,feel blessed able leave,feel bless able leave
i now feel so determined to smash round and really give her something to be proud of,1,joy,i now feel so determined to smash round and really give her something to be proud of,feel determined smash round really give something proud,feel determine smash round really give something proud
i feel like i cant handle this deployment or that i am miserable,0,sad,i feel like i cant handle this deployment or that i am miserable,feel like cant handle deployment miserable,feel like cant handle deployment miserable
i feel so beaten down by the constant anxiety and frustration of looking for word and being constantly disappointed,0,sad,i feel so beaten down by the constant anxiety and frustration of looking for word and being constantly disappointed,feel beaten constant anxiety frustration looking word constantly disappointed,feel beat constant anxiety frustration looking word constantly disappoint
i feel like i am not very smart,1,joy,i feel like i am not very smart,feel like smart,feel like smart
i feel guilt that i was cranky last night and didn t fully embrace my evening alone with the boy,3,anger,i feel guilt that i was cranky last night and didn t fully embrace my evening alone with the boy,feel guilt cranky last night fully embrace evening alone boy,feel guilt cranky last night fully embrace evening alone boy
i already feel like ive been accepted into the community here,1,joy,i already feel like ive been accepted into the community here,already feel like ive accepted community,already feel like ive accept community
i confess to feeling a bit nervous now though there are some very talented people in the group,4,fear,i confess to feeling a bit nervous now though there are some very talented people in the group,confess feeling bit nervous though talented people group,confess feeling bit nervous though talented people group
i didnt expected to be that much addicted to the nicotine before ive experienced all withdrawal symptoms feeling irritable and so stressed going mad with cravings inability to concentrate dry mouth trouble sleeping i wake up every night at a,3,anger,i didnt expected to be that much addicted to the nicotine before ive experienced all withdrawal symptoms feeling irritable and so stressed going mad with cravings inability to concentrate dry mouth trouble sleeping i wake up every night at a,didnt expected much addicted nicotine ive experienced withdrawal symptoms feeling irritable stressed going mad cravings inability concentrate dry mouth trouble sleeping wake every night,didnt expect much addict nicotine ive experience withdrawal symptom feeling irritable stress going mad craving inability concentrate dry mouth trouble sleeping wake every night
i am wondering if i am feeling brave enough to make them for gifts,1,joy,i am wondering if i am feeling brave enough to make them for gifts,wondering feeling brave enough make gifts,wonder feeling brave enough make gift
i am simply to realize that master homis knows best and if he feels there is too much going on he will step in and help with some tasks that i perform and i am not to become distressed about this,4,fear,i am simply to realize that master homis knows best and if he feels there is too much going on he will step in and help with some tasks that i perform and i am not to become distressed about this,simply realize master homis knows best feels much going step help tasks perform become distressed,simply realize master homis know best feel much going step help task perform become distress
i feel so pissed about myself,3,anger,i feel so pissed about myself,feel pissed,feel piss
i wish i can wake up and find peace see little kids flying their kites catch hope and not only feel it but taste how delicious a four letter word can give me the shelter i need,1,joy,i wish i can wake up and find peace see little kids flying their kites catch hope and not only feel it but taste how delicious a four letter word can give me the shelter i need,wish wake find peace see little kids flying kites catch hope feel taste delicious four letter word give shelter need,wish wake find peace see little kid flying kite catch hope feel taste delicious four letter word give shelter need
i feel that im not talented in baking,1,joy,i feel that im not talented in baking,feel im talented baking,feel im talented baking
i still feel that i expect pieces of the world from him but im afraid to come close and place those expectations upon him again in fear that hell disappoint me,4,fear,i still feel that i expect pieces of the world from him but im afraid to come close and place those expectations upon him again in fear that hell disappoint me,still feel expect pieces world im afraid come close place expectations upon fear hell disappoint,still feel expect piece world im afraid come close place expectation upon fear hell disappoint
i managed to eat more than i usually can on race morning mostly because jon was there and i didnt feel quite as nervous,4,fear,i managed to eat more than i usually can on race morning mostly because jon was there and i didnt feel quite as nervous,managed eat usually race morning mostly jon didnt feel quite nervous,manage eat usually race morning mostly jon didnt feel quite nervous
i see jacque i feel extremely guilty because she still hasn t forgiven me,0,sad,i see jacque i feel extremely guilty because she still hasn t forgiven me,see jacque feel extremely guilty still forgiven,see jacque feel extremely guilty still forgive
i started off feeling rather cranky and grumpy and ultimately ordinary then there was a little facebook flash from my cousin in west meath and suddenly we were pinging bad jokes and naughty stories about rudolph valentino performing unspeakable acts back and forth and it felt like a party,3,anger,i started off feeling rather cranky and grumpy and ultimately ordinary then there was a little facebook flash from my cousin in west meath and suddenly we were pinging bad jokes and naughty stories about rudolph valentino performing unspeakable acts back and forth and it felt like a party,started feeling rather cranky grumpy ultimately ordinary little facebook flash cousin west meath suddenly pinging bad jokes naughty stories rudolph valentino performing unspeakable acts back forth felt like party,start feeling rather cranky grumpy ultimately ordinary little facebook flash cousin west meath suddenly ping bad joke naughty story rudolph valentino performing unspeakable act back forth felt like party
i feel like they might be engineering hostile situations by which i mean wars and missile testing and dropping spy planes out of the sky and all the rest because overwhelmingly they have y chromosomes and because they are bored,3,anger,i feel like they might be engineering hostile situations by which i mean wars and missile testing and dropping spy planes out of the sky and all the rest because overwhelmingly they have y chromosomes and because they are bored,feel like might engineering hostile situations mean wars missile testing dropping spy planes sky rest overwhelmingly chromosomes bored,feel like might engineering hostile situation mean war missile testing drop spy plane sky rest overwhelmingly chromosome bore
